itemid,ID,
catid,栏目ID,
typeid,分类ID,
areaid,地区ID,
level,级别,
title,标题,
style,颜色,
fee,收费,
introduce,简介,
n1,参数名1,
n2,参数名2,
n3,参数名3,
v1,参数值1,
v2,参数值2,
v3,参数值3,
amount,供货总量,
price,价格,
pack,包装要求,
days,发货时间,
tag,产品名/标签,
keyword,关键词,
pptword,分类属性,
hits,点击次数,
comments,评论数量,
thumb,标题图,
thumb1,标题图,
thumb2,标题图,
thumbs,相册图片,
username,会员名,
groupid,会员组,
company,公司名,
vip,VIP级别,
validated,认证,
truename,姓名/联系人,
telephone,电话,
mobile,手机,
address,地址,
email,E-mail,
qq,QQ,
wx,微信,
ali,阿里旺旺,
skype,Skype,
totime,过期时间,
editor,编辑,
edittime,修改时间,
editdate,修改日期,
addtime,添加时间,
adddate,添加日期,
ip,IP,
template,模板,
status,状态,
linkurl,链接地址,
filepath,文件地址,
note,备注,
