userid,会员ID,
username,会员名,
groupid,会员组,
company,公司名,
level,级别,
validated,认证,
validator,认证名称,
validtime,认证时间,
vip,VIP级别,
vipt,VIP指数理论值,
vipr,VIP指数修正值,
type,公司类型,
catid,栏目ID,
catids,栏目上级ID,
areaid,地区ID,
mode,经营模式,
capital,注册资本,
regunit,注册资本货币单位,
size,公司规模,
regyear,注册年份,
regcity,注册城市,
sell,销售的产品(提供的服务),
buy,采购的产品(需要的服务),
business,主要经营范围,
telephone,电话,
fax,传真,
mail,电子邮件,公开
gzh,微信公众号,
gzhqr,公众号二维码,
address,地址,
postcode,邮编,
homepage,公司网址,
fromtime,VIP开始时间,
totime,VIP过期时间,
styletime,风格模板过期时间,
thumb,形象图片,
introduce,简介,
hits,点击次数,
comments,评论数量,
keyword,关键词,
template,模板,
skin,风格,
domain,绑定顶级域名,
icp,ICP备案号,
linkurl,主页地址,
