itemid,ID,
catid,栏目ID,
areaid,地区ID,
level,级别,
title,标题,
style,颜色,
fee,收费,
introduce,简介,
keyword,关键词,
pptword,分类属性,
hits,点击次数,
comments,评论数量,
orders,报名次数,
thumb,标题图,
username,会员名,
addtime,添加时间,
fromtime,开始时间,
totime,过期时间,
city,展出城市,
address,展出地址,
postcode,邮政编码,
homepage,官方网站,
hallname,展馆名称,
sponsor,主办单位,
undertaker,承办单位,
truename,联系人,
addr,通讯地址,
telephone,电话,
mobile,手机,
fax,传真,
email,E-mail,
qq,QQ,
wx,微信,
remark,展会备注,
sign,是否在线报名,
editor,编辑,
edittime,修改时间,
ip,IP,
template,模板,
status,状态,
linkurl,链接地址,
filepath,文件地址,
note,备注,
