itemid,ID,
catid,栏目ID,
areaid,地区ID,
level,级别,
title,标题,
style,颜色,
fee,收费,
introduce,简介,
price,团购价,
marketprice,市场价,
savemoney,节省资金,
discount,折扣,
minamount,最低人数,
amount,最多人数,
logistic,需要物流,
tag,标签,
keyword,关键词,
pptword,分类属性,
hits,点击次数,
comments,评论数量,
orders,订单数量,
sales,销量,
thumb,标题图,
username,会员名,
groupid,会员组,
company,公司名,
vip,VIP级别,
validated,认证,
truename,姓名,
telephone,电话,
mobile,手机,
address,地址,
email,E-mail,
qq,QQ,
wx,微信,
ali,阿里旺旺,
skype,Skype,
totime,过期时间,
endtime,结束时间,
editor,编辑,
edittime,修改时间,
addtime,添加时间,
ip,IP,
template,模板,
status,状态,
process,进入,0成团中1团购中2已结束
linkurl,链接地址,
filepath,文件地址,
note,备注,
