itemid,ID,
catid,栏目ID,
areaid,地区ID,
level,级别,
title,标题,
style,颜色,
fee,收费,
introduce,简介,
keyword,关键词,
pptword,分类属性,
department,招聘部门,
total,招聘人数,
minsalary,待遇水平最低,
maxsalary,待遇水平最高,
type,工作性质,
gender,性别,
marriage,婚姻要求,
education,学历要求,
experience,工作经验,
minage,最小年龄,
maxage,最大年龄,
hits,点击次数,
comments,评论数量,
thumb,标题图片,
apply,应聘次数,
username,会员名,
groupid,会员组,
company,公司名,
vip,VIP级别,
validated,认证,
truename,姓名/联系人,
telephone,电话,
mobile,手机,
address,地址,
email,E-mail,
qq,QQ,
wx,微信,
ali,阿里旺旺,
skype,Skype,
sex,性别,
totime,过期时间,
editor,编辑,
edittime,修改时间,
editdate,修改日期,
addtime,添加时间,
adddate,添加日期,
ip,IP,
template,模板,
status,状态,
linkurl,链接地址,
filepath,文件地址,
note,备注,
