itemid,ID,
catid,栏目ID,
areaid,地区ID,
level,级别,
title,标题,
style,颜色,
fee,收费,
introduce,简介,
keyword,关键词,
truename,姓名,
gender,性别,
birthday,生日,
age,年龄,
marriage,婚否,
height,身高,
weight,体重,
education,学历,
school,毕业院校,
major,所学专业,
skill,专业技能,
language,语言水平,
minsalary,最低薪资,
maxsalary,最高薪资,
type,工作性质,
experience,工作经验,
mobile,手机,
telephone,电话,
address,地址,
email,E-mail,
qq,QQ,
wx,微信,
ali,阿里旺旺,
skype,Skype,
hits,点击次数,
thumb,标题图,
username,会员名,
addtime,添加时间,
editor,编辑,
edittime,修改时间,
ip,IP,
template,模板,
situation,求职状态,
status,状态,
open,简历公开程度,
linkurl,链接地址,
note,备注,
