itemid,ID,
catid,栏目ID,
areaid,地区ID,
level,级别,
title,标题,
style,颜色,
fee,收费,
credit,悬赏积分,
aid,最佳答案ID,
hidden,匿名提问,
process,当前状态,
message,站内信通知,
addition,补充信息,
comment,最佳答案评价,
introduce,简介,
keyword,关键词,
pptword,分类属性,
hits,点击次数,
comments,评论数量,
raise,追加悬赏次数,
agree,最佳答案支持,
against,最佳答案反对,
thumb,标题图,
answer,答案数量,
username,会员名,
passport,昵称,
ask,被提问的专家会员名,
expert,最佳答案的专家会员名,
addtime,添加时间,
totime,过期时间,
updatetime,更新时间,
editor,编辑,
edittime,修改时间,
ip,IP,
template,模板,
status,状态,
linkurl,链接地址,
filepath,文件地址,
note,备注,
