itemid,ID,
catid,栏目ID,
mycatid,自定义分类,
areaid,地区ID,
level,级别,
elite,公司主页推荐,
title,标题,
style,颜色,
fee,收费,
introduce,简介,
brand,品牌,
price,价格,
step,阶梯价格,
amount,供货总量,
unit,记录单位,
tag,标签,
keyword,关键词,
pptword,属性关键词,
hits,点击次数,
orders,订单数量,
sales,销售数量,
comments,评论数量,
thumb,标题图1,
thumb1,标题图2,
thumb2,标题图3,
thumbs,相册图片,
relate_name,关联名称,
relate_id,关联ID,
relate_title,关联标题,
n1,购买属性名1,
n2,购买属性名2,
n3,购买属性名3,
v1,购买属性值1,
v2,购买属性值2,
v3,购买属性值3,
express_1,快递ID1,
express_name_1,快递名称1,
fee_start_1,快递起价1,
fee_step_1,快递价格递增1,
express_2,快递ID2,
express_name_2,快递名称2,
fee_start_2,快递起价2,
fee_step_2,快递价格递增2,
express_3,快递ID3,
express_name_3,快递名称3,
fee_start_3,快递起价3,
fee_step_3,快递价格递增3,
cod,货到付款,
username,会员名,
groupid,会员组,
company,公司名,
vip,VIP级别,
validated,认证,
truename,姓名/联系人,
telephone,电话,
mobile,手机,
address,地址,
email,E-mail,
qq,QQ,
wx,微信,
ali,阿里旺旺,
skype,Skype,
editor,编辑,
edittime,修改时间,
editdate,修改日期,
addtime,添加时间,
adddate,添加日期,
ip,IP,
template,模板,
status,状态,
linkurl,链接地址,
filepath,文件地址,
note,备注,
