userid,会员ID,
username,会员名,
passport,昵称,
company,公司名,
password,登录密码,
passsalt,登录密钥,
payword,支付密码,
paysalt,支付密钥,
email,E-mail,不公开
message,新信件数量,
chat,新对话数量,
sound,站内信声音,
online,在线状态,1在线0隐身
avatar,是否有头像,
gender,性别,
truename,姓名/联系人,
mobile,手机,
qq,QQ,
wx,微信,
wxqr,微信二维码,
ali,阿里旺旺,
skype,Skype,
department,部门,
career,职位,
admin,是否为管理员,
role,管理角色,
aid,管理分站地区ID,
groupid,会员组,
regid,注册会员组,
areaid,地区ID,
sms,短信余额,
credit,积分余额,
money,资金余额,
deposit,保证金,
edittime,修改时间,
regip,注册IP,
regtime,注册时间,
loginip,登录IP,
logintime,登录时间,
logintimes,登录次数,
send,是否允许转发站内信至邮箱,
vemail,邮件认证,
vmobile,手机认证,
vtruename,实名认证,
vbank,银行认证,
vcompany,公司认证,
vtrade,支付宝帐号认证,
trade,支付宝帐号,
support,客服专员,
inviter,推荐注册人,
note,备注,
